"lang"
{
"Language"		"french"
"GameUI_Spray_Import_Error_Image_File_Corrupt"		"Fichier image corrompu"
"[english]GameUI_Spray_Import_Error_BMP_Format_Not_Supported"		"This file's BMP format is not supported. Supported BMP formats are 24-bit RGB, 8-bit 256 color, 4-bit 16 color, and monochrome black and white."
"GameUI_Spray_Import_Error_BMP_Format_Not_Supported"		"Le format BMP de ce fichier n'est pas pris en charge. Les formats BMP pris en charge sont les suivants : RGB (24 bits) et RGBA (32 bits)."
"[english]GameUI_Spray_Import_Error_TGA_Format_Not_Supported"		"This file's TGA format is not supported. Supported TGA formats are 24-bit RGB and 32-bit RGBA."
"GameUI_Spray_Import_Error_TGA_Format_Not_Supported"		"Le format TGA de ce fichier n'est pas pris en charge. Les formats TGA pris en charge sont les suivants : RGB (24 bits) et RGBA (32 bits)."
"[english]GameUI_Spray_Import_Error_Writing_Temp_Output"		"Error creating temporary file."
"GameUI_Spray_Import_Error_Writing_Temp_Output"		"Erreur lors de la création du fichier temporaire."
"[english]GameUI_Spray_Import_Error_Cant_Load_VTEX_DLL"		"Unable to load vtex.dll. Try restarting steam to get the latest updates."
"GameUI_Spray_Import_Error_Cant_Load_VTEX_DLL"		"Impossible de charger vtex_dll.dll. Essayez de redémarrer Steam pour obtenir les dernières mises à jour."
"[english]GameUI_Spray_Import_Error_Writing_Output"		"Unable to write output spray file. It's possible the current user doesn't have permission."
"GameUI_Spray_Import_Error_Writing_Output"		"Impossible d'écrire le fichier de graffiti. L'utilisateur actuel n'a peut-être pas la permission."
"[english]GameUI_ImportSprayEllipsis"		"Import Spray..."
"GameUI_ImportSprayEllipsis"		"Importer graffiti..."
"[english]GameUI_ImportSprayImage"		"Import Spray Image"
"GameUI_ImportSprayImage"		"Importer image graffiti"
"[english]GameUI_All_Images"		"All Images (*.jpg,*.bmp,*.tga,*.vtf)"
"GameUI_All_Images"		"Toutes les images (*.jpg,*.bmp,*.tga,*.vtf)"
"[english]GameUI_JPEG_Images"		"JPEG Images (*.jpg)"
"GameUI_JPEG_Images"		"Images JPEG (*.jpg)"
"[english]GameUI_TGA_Images"		"Targa Images (*.tga)"
"GameUI_TGA_Images"		"Images Targa (*.tga)"
"[english]GameUI_BMP_Images"		"Bitmap Images (*.bmp)"
"GameUI_BMP_Images"		"Images Bitmap (*.bmp)"
"[english]GameUI_VTF_Images"		"VTF Images (*.vtf)"
"GameUI_VTF_Images"		"Images VTF (*.vtf)"
"[english]GameUI_ImportBonusMapsEllipsis"		"Import Bonus Maps..."
"GameUI_ImportBonusMapsEllipsis"		"Importer des cartes bonus..."
"[english]GameUI_ImportBonusMaps"		"Import Bonus Maps"
"GameUI_ImportBonusMaps"		"Importer des cartes bonus"
"[english]GameUI_BMZ_Files"		"Bonus Map Zip Files (*.bmz)"
"GameUI_BMZ_Files"		"Fichiers Zip de cartes bonus (*.bmz)"
"[english]GameUI_SettingRequiresDisconnect_Title"		"OPTIONS - WARNING"
"GameUI_SettingRequiresDisconnect_Title"		"OPTIONS - AVERTISSEMENT"
"[english]GameUI_SettingRequiresDisconnect_Info"		"Changing this setting will disconnect you from the current game."
"GameUI_SettingRequiresDisconnect_Info"		"Si vous modifiez ce paramètre, vous serez déconnecté du jeu."
"[english]GameUI_SettingChangeFromX360Dashboard_Title"		"OPTIONS"
"GameUI_SettingChangeFromX360Dashboard_Title"		"OPTIONS"
"[english]GameUI_SettingChangeFromX360Dashboard_Info"		"This setting can only be changed from the Xbox 360 Dashboard."
"GameUI_SettingChangeFromX360Dashboard_Info"		"Ce paramètre ne peut être modifié qu'à partir du panneau de configuration de la Xbox 360"
"[english]GameUI_Dlg_CheckingStorageDevice"		"Checking storage device..."
"GameUI_Dlg_CheckingStorageDevice"		"Vérification de l'unité de stockage"
"[english]GameUI_Chapter"		"MISSION"
"GameUI_Chapter"		"CHAPITRE"
"[english]VAC_LoggedInElsewhere_Title"		"Account Used Elsewhere"
"VAC_LoggedInElsewhere_Title"		"Compte utilisé ailleurs"
"[english]VAC_LoggedInElsewhereReason"		"This Steam account has been used to log in from another computer. To continue using Steam, you need to log in again."
"VAC_LoggedInElsewhereReason"		"Votre compte Steam a été utilisé pour vous connecter à partir d'un autre ordinateur. Pour continuer à utiliser Steam, vous devez vous reconnecter."
"[english]GAMEUI_Commentary"		"Commentary"
"GAMEUI_Commentary"		"Commentaire"
"[english]GAMEUI_Commentary_On"		"On (where available)"
"GAMEUI_Commentary_On"		"Activé (si disponible)"
"[english]GAMEUI_Commentary_Off"		"Off"
"GAMEUI_Commentary_Off"		"Désactivé"
"[english]GAMEUI_CommentaryDialogTitle"		"COMMENTARY"
"GAMEUI_CommentaryDialogTitle"		"COMMENTAIRES"
"[english]GAMEUI_Commentary_LabelOn"		"COMMENTARY MODE IS CURRENTLY: ON"
"GAMEUI_Commentary_LabelOn"		"LE MODE COMMENTAIRE EST ACTUELLEMENT : ACTIVE"
"[english]GAMEUI_Commentary_LeaveOn"		"Leave commentary ON"
"GAMEUI_Commentary_LeaveOn"		"Laisser le mode commentaire ACTIVE"
"[english]GAMEUI_Commentary_TurnOff"		"Turn commentary OFF"
"GAMEUI_Commentary_TurnOff"		"DÉSACTIVER le mode commentaire"
"[english]GAMEUI_Commentary_LabelOff"		"COMMENTARY MODE IS CURRENTLY: OFF"
"GAMEUI_Commentary_LabelOff"		"LE MODE COMMENTAIRE EST ACTUELLEMENT : DÉSACTIVÉ"
"[english]GAMEUI_Commentary_TurnOn"		"Turn commentary ON"
"GAMEUI_Commentary_TurnOn"		"ACTIVER le mode commentaire"
"[english]GAMEUI_Commentary_LeaveOff"		"Leave commentary OFF"
"GAMEUI_Commentary_LeaveOff"		"Laisser le mode commentaire DÉSACTIVÉ"
"[english]GAMEUI_PostCommentary_ModeLabelOn"		"COMMENTARY MODE IS: ON"
"GAMEUI_PostCommentary_ModeLabelOn"		"LE MODE COMMENTAIRE EST : ACTIVE"
"[english]GAMEUI_PostCommentary_ModeLabelOff"		"COMMENTARY MODE IS: OFF"
"GAMEUI_PostCommentary_ModeLabelOff"		"LE MODE COMMENTAIRE EST : DÉSACTIVÉ"
"[english]GAMEUI_PostCommentary_options"		"(To turn commentary on or off, select \"options\" from the main menu.)"
"GAMEUI_PostCommentary_options"		"(Pour activer ou désactiver le commentaire, sélectionner « options » à partir du menu principal.)"
"[english]GAMEUI_Commentary_WhatIs"		"Commentary mode allows access to information nodes, containing audio commentary spoken by members of the Valve development team."
"GAMEUI_Commentary_WhatIs"		"Le mode Commentaires vous donne accès à des commentaires audio de l'équipe de développement de Valve."
"[english]GAMEUI_Commentary_HowToUse"		"To start or stop a commentary node, aim your crosshairs at any balloon icon and then press your USE key."
"GAMEUI_Commentary_HowToUse"		"Pour écouter ou arrêter un commentaire, placez le viseur sur l'une des icônes en forme de ballon, puis appuyez sur la touche Utiliser."
"[english]GAMEUI_Commentary_HowToUse_Attack"		"To start or stop a commentary node, aim your crosshairs at any balloon icon and then press your PRIMARY FIRE key."
"GAMEUI_Commentary_HowToUse_Attack"		"Pour écouter ou arrêter un commentaire, placez le viseur sur l'une des icônes en forme de ballon, puis appuyez sur la touche d'attaque principale."
"[english]GAMEUI_COMMENTARY_GOD"		"(While playing the game in commentary mode, you will be invulnerable to damage and achievements will not be awarded.)"
"GAMEUI_COMMENTARY_GOD"		"(Tant que vous jouez en mode Commentaires, vous êtes invulnérable et vous ne pouvez pas remporter de succès.)"
"[english]GAMEUI_Commentary_Console_Explanation"		"'Commentary nodes' contain audio commentary by the Valve development team. To start or stop a node, aim at any balloon icon and press your USE button. (You will be invulnerable to damage while listening to a node. Achievements can not be earned in commentary mode.)"
"GAMEUI_Commentary_Console_Explanation"		"Les « Commentaires » sont les commentaires de l'équipe de développement de Valve. Pour écouter ou arrêter un commentaire, placez le viseur sur l'une des icônes en forme de ballon, puis appuyez sur la touche d'attaque principale."
"[english]GAMEUI_AudioSpokenLanguage"		"Audio (spoken) language"
"GAMEUI_AudioSpokenLanguage"		"Langue audio"
"[english]GameUI_ThirdPartyTechCredits"		"3rd party technology credits"
"GameUI_ThirdPartyTechCredits"		"Remerciements pour les technologies de tiers"
"[english]GameUI_ThirdPartyAudio_Title"		"3rd PARTY AUDIO TECHNOLOGY"
"GameUI_ThirdPartyAudio_Title"		"TECHNOLOGIE AUDIO DE TIERS"
"[english]GameUI_ThirdPartyVideo_Title"		"3rd PARTY VIDEO TECHNOLOGY"
"GameUI_ThirdPartyVideo_Title"		"TECHNOLOGIE VIDÉO DE TIERS"
"[english]GAMEUI_RequiresRestart"		"(Requires restart)"
"GAMEUI_RequiresRestart"		"(Redémarrage requis)"
"[english]GameUI_ChangeLanguageRestart_OkButton"		"Restart Now"
"GameUI_ChangeLanguageRestart_OkButton"		"Redémarrer maintenant"
"[english]GameUI_ChangeLanguageRestart_CancelButton"		"Cancel"
"GameUI_ChangeLanguageRestart_CancelButton"		"Annuler"
"[english]GameUI_ChangeLanguageRestart_Title"		"CHANGE SPOKEN AUDIO LANGUAGE"
"GameUI_ChangeLanguageRestart_Title"		"MODIFIER LA LANGUE AUDIO"
"[english]GameUI_ChangeLanguageRestart_Info"		"The game must restart in order to change the spoken audio language.\n\nWould you like to restart now?"
"GameUI_ChangeLanguageRestart_Info"		"Vous devez redémarrer le jeu pour changer la langue audio.\n\nSouhaitez-vous redémarrer le jeu maintenant ?"
"[english]GameUI64_64BitNotice"		"64-bit mode active"
"GameUI64_64BitNotice"		"Mode 64 bits activé"
"[english]GameUI_LoadCommentary"		"DEVELOPER COMMENTARY"
"GameUI_LoadCommentary"		"COMMENTAIRES DES DÉVELOPPEURS"
"[english]GameUI_LoadCommentaryHelp"		"Select a commentary track in the list below, then click 'Load game'."
"GameUI_LoadCommentaryHelp"		"Sélectionnez des commentaires dans la liste ci-dessous, puis cliquez sur « Charger »."
"[english]GameUI_NoCommentaryItemsToDisplay"		"No commentary tracks available."
"GameUI_NoCommentaryItemsToDisplay"		"Aucun commentaire disponible."
"[english]GameUI_CommentaryUnlock"		"Complete a chapter to unlock its commentary."
"GameUI_CommentaryUnlock"		"Terminez un chapitre pour débloquer le commentaire associé."
"[english]GameUI_A_BUTTON"		"A Button"
"GameUI_A_BUTTON"		"Bouton A"
"[english]GameUI_B_BUTTON"		"B Button"
"GameUI_B_BUTTON"		"Bouton B"
"[english]GameUI_X_BUTTON"		"X Button"
"GameUI_X_BUTTON"		"Bouton X"
"[english]GameUI_Y_BUTTON"		"Y Button"
"GameUI_Y_BUTTON"		"Bouton Y"
"[english]GameUI_L_TRIGGER"		"Left Trigger"
"GameUI_L_TRIGGER"		"Gâchette gauche"
"[english]GameUI_R_TRIGGER"		"Right Trigger"
"GameUI_R_TRIGGER"		"Gâchette droite"
"[english]GameUI_L_SHOULDER"		"Left Shoulder"
"GameUI_L_SHOULDER"		"Tranche gauche"
"[english]GameUI_R_SHOULDER"		"Right Shoulder"
"GameUI_R_SHOULDER"		"Tranche droite"
"[english]GameUI_Icons_UP"		"U"
"GameUI_Icons_UP"		"U"
"[english]GameUI_Icons_DOWN"		"D"
"GameUI_Icons_DOWN"		"D"
"[english]GameUI_Icons_LEFT"		"L"
"GameUI_Icons_LEFT"		"L"
"[english]GameUI_Icons_RIGHT"		"R"
"GameUI_Icons_RIGHT"		"R"
"[english]GameUI_Icons_DPAD"		"C"
"GameUI_Icons_DPAD"		"C"
"[english]GameUI_Icons_START"		"5"
"GameUI_Icons_START"		"5"
"[english]GameUI_Icons_BACK"		"4"
"GameUI_Icons_BACK"		"4"
"[english]GameUI_Icons_STICK1"		"6"
"GameUI_Icons_STICK1"		"6"
"[english]GameUI_Icons_STICK2"		"7"
"GameUI_Icons_STICK2"		"7"
"[english]GameUI_Icons_S1_UP"		"6"
"GameUI_Icons_S1_UP"		"6"
"[english]GameUI_Icons_S2_UP"		"7"
"GameUI_Icons_S2_UP"		"7"
"[english]GameUI_Icons_LSTICK"		"6"
"GameUI_Icons_LSTICK"		"6"
"[english]GameUI_Icons_RSTICK"		"7"
"GameUI_Icons_RSTICK"		"7"
"[english]GameUI_Icons_A_BUTTON"		"A"
"GameUI_Icons_A_BUTTON"		"A"
"[english]GameUI_Icons_B_BUTTON"		"B"
"GameUI_Icons_B_BUTTON"		"B"
"[english]GameUI_Icons_X_BUTTON"		"X"
"GameUI_Icons_X_BUTTON"		"X"
"[english]GameUI_Icons_Y_BUTTON"		"Y"
"GameUI_Icons_Y_BUTTON"		"Y"
"[english]GameUI_Icons_L_SHOULDER"		"2"
"GameUI_Icons_L_SHOULDER"		"2"
"[english]GameUI_Icons_R_SHOULDER"		"3"
"GameUI_Icons_R_SHOULDER"		"3"
"[english]GameUI_Icons_L_TRIGGER"		"0"
"GameUI_Icons_L_TRIGGER"		"0"
"[english]GameUI_Icons_R_TRIGGER"		"1"
"GameUI_Icons_R_TRIGGER"		"1"
"[english]GameUI_Icons_LEFTCURSOR"		"8"
"GameUI_Icons_LEFTCURSOR"		"8"
"[english]GameUI_Icons_RIGHTCURSOR"		"9"
"GameUI_Icons_RIGHTCURSOR"		"9"
"[english]GameUI_Icons_UPCURSOR"		"<"
"GameUI_Icons_UPCURSOR"		"<"
"[english]GameUI_Icons_DOWNCURSOR"		">"
"GameUI_Icons_DOWNCURSOR"		">"
"[english]GameUI_Icons_NONE"		"< not assigned >"
"GameUI_Icons_NONE"		"< vide >"
		"[english]GameUI_KeyNames_Not_Bound"		"< not bound >"
		"GameUI_KeyNames_Not_Bound"		"< not bound >"
"[english]GameUI_KeyNames_UP"		"D-pad up"
"GameUI_KeyNames_UP"		"Bouton multidirectionnel haut"
"[english]GameUI_KeyNames_DOWN"		"D-pad down"
"GameUI_KeyNames_DOWN"		"Bouton multidirectionnel bas"
"[english]GameUI_KeyNames_LEFT"		"D-pad left"
"GameUI_KeyNames_LEFT"		"Bouton multidirectionnel gauche"
"[english]GameUI_KeyNames_RIGHT"		"D-pad right"
"GameUI_KeyNames_RIGHT"		"Bouton multidirectionnel droite"
"[english]GameUI_KeyNames_START"		"START button"
"GameUI_KeyNames_START"		"Touche START"
"[english]GameUI_KeyNames_BACK"		"BACK button"
"GameUI_KeyNames_BACK"		"Touche BACK"
"[english]GameUI_KeyNames_STICK1"		"left stick button"
"GameUI_KeyNames_STICK1"		"Touche du stick analogique gauche"
"[english]GameUI_KeyNames_STICK2"		"right stick button"
"GameUI_KeyNames_STICK2"		"Touche du stick analogique droit"
"[english]GameUI_KeyNames_S1_UP"		"left stick"
"GameUI_KeyNames_S1_UP"		"Stick analogique gauche"
"[english]GameUI_KeyNames_S2_UP"		"right stick"
"GameUI_KeyNames_S2_UP"		"Stick analogique droit"
"[english]GameUI_KeyNames_LSTICK"		"left stick"
"GameUI_KeyNames_LSTICK"		"Stick analogique gauche"
"[english]GameUI_KeyNames_RSTICK"		"right stick"
"GameUI_KeyNames_RSTICK"		"Stick analogique droit"
"[english]GameUI_KeyNames_A_BUTTON"		"A button"
"GameUI_KeyNames_A_BUTTON"		"Touche A"
"[english]GameUI_KeyNames_B_BUTTON"		"B button"
"GameUI_KeyNames_B_BUTTON"		"Touche B"
"[english]GameUI_KeyNames_X_BUTTON"		"X button"
"GameUI_KeyNames_X_BUTTON"		"Touche X"
"[english]GameUI_KeyNames_Y_BUTTON"		"Y button"
"GameUI_KeyNames_Y_BUTTON"		"Touche Y"
"[english]GameUI_KeyNames_L_SHOULDER"		"left bumper"
"GameUI_KeyNames_L_SHOULDER"		"Touche LB"
"[english]GameUI_KeyNames_R_SHOULDER"		"right bumper"
"GameUI_KeyNames_R_SHOULDER"		"Touche RB"
"[english]GameUI_KeyNames_L_TRIGGER"		"left trigger"
"GameUI_KeyNames_L_TRIGGER"		"Touche LT"
"[english]GameUI_KeyNames_R_TRIGGER"		"right trigger"
"GameUI_KeyNames_R_TRIGGER"		"Touche RT"
		"[english]GameUI_Game"		"GAME"
		"GameUI_Game"		"GAME"
"[english]GameUI_Controller"		"CONTROLLER"
"GameUI_Controller"		"MANETTE"
"[english]GameUI_Buttons"		"BUTTONS"
"GameUI_Buttons"		"TOUCHES"
"[english]GameUI_RestoreDefaults"		"RESTORE DEFAULTS"
"GameUI_RestoreDefaults"		"RESTAURER LES PARAMÈTRES PAR DÉFAUT"
"[english]GameUI_Accept"		"Accept"
"GameUI_Accept"		"Accepter"
"[english]GameUI_Select"		"Select"
"GameUI_Select"		"Sélectionner"
"[english]GameUI_Refresh"		"Refresh"
"GameUI_Refresh"		"Actualiser"
"[english]GameUI_Sort"		"Sort"
"GameUI_Sort"		"Trier"
"[english]GameUI_ExitLobby"		"Exit"
"GameUI_ExitLobby"		"Quitter"
"[english]GameUI_ChangeTeam"		"Change Team"
"GameUI_ChangeTeam"		"Changer d'équipe"
"[english]GameUI_ChangeGameSettings"		"Change Settings"
"GameUI_ChangeGameSettings"		"Paramètres"
"[english]GameUI_PlayerReview"		"Player Review"
"GameUI_PlayerReview"		"Profil joueur"
"[english]GameUI_StartGame"		"Start Game"
"GameUI_StartGame"		"Commencer"
"[english]GameUI_StopCountdown"		"Cancel Countdown"
"GameUI_StopCountdown"		"Annuler le décompte"
"[english]GameUI_Console_FileCorrupt"		"The selected storage device contains a file that is corrupted or not able to be opened. Please choose another storage device or delete the corrupted file."
"GameUI_Console_FileCorrupt"		"Le périphérique de stockage sélectionné contient un fichier corrompu ou ne pouvant pas être ouvert. Sélectionnez un autre périphérique de stockage ou supprimez le fichier corrompu."
"[english]GameUI_AppChooser_SelectGame"		"SELECT GAME:"
"GameUI_AppChooser_SelectGame"		"SÉLECTIONNER PARTIE :"
"[english]GameUI_Yes"		"Yes"
"GameUI_Yes"		"Oui"
"[english]GameUI_No"		"No"
"GameUI_No"		"Non"
"[english]GameUI_Console_QuitWarning"		"Are you sure you want to quit?\nAll unsaved progress will be lost."
"GameUI_Console_QuitWarning"		"Êtes-vous sûr de vouloir quitter ? \nToute progression non sauvegardée sera perdue."
"[english]GameUI_Console_StorageRemovedTitle"		"Storage Device Removed"
"GameUI_Console_StorageRemovedTitle"		"Unité de stockage éjecté"
"[english]GameUI_Console_StorageRemovedBody"		"You will not be able to save your progress without a storage device. Would you like to select another storage device?"
"GameUI_Console_StorageRemovedBody"		"Vous ne pourrez pas sauvegarder votre progression sans unité de stockage. Voulez-vous sélectionner une autre unité de stockage ?"
"[english]GameUI_Console_StorageNeededBody"		"You will not be able to continue playing without a storage device. Would you like to select another storage device?"
"GameUI_Console_StorageNeededBody"		"Vous ne pourrez pas continuer à jouer sans unité de stockage. Voulez-vous sélectionner une autre unité de stockage ?"
"[english]GameUI_Console_StorageChange"		"Change Storage Device"
"GameUI_Console_StorageChange"		"Changer d'unité de stockage"
"[english]GameUI_Console_StorageTooFullTitle"		"Storage Device Full"
"GameUI_Console_StorageTooFullTitle"		"Unité de stockage plein"
"[english]GameUI_Console_StorageTooFullBody"		"The selected storage device does not have enough space to create new saved games. Would you like to select another storage device?"
"GameUI_Console_StorageTooFullBody"		"L'unité de stockage ne dispose pas d'un espace disque suffisant pour créer et sauvegarder de nouvelles parties. Souhaitez-vous sélectionner une autre unité de stockage ?"
"[english]GameUI_Console_NoStorageDeviceSelectedTitle"		"No Storage Device Selected"
"GameUI_Console_NoStorageDeviceSelectedTitle"		"Aucune unité de stockage sélectionné"
"[english]GameUI_Console_NoStorageDeviceSelectedBody"		"Would you like to select a storage device?\n\nChoosing 'No' will let you play the game, but you will not be able to save your progress."
"GameUI_Console_NoStorageDeviceSelectedBody"		"Souhaitez-vous sélectionner un périphérique de stockage ?\n\nSi vous choisissez « Non », vous pourrez jouer, mais vous ne pourrez pas sauvegarder votre progression."
"[english]GameUI_Console_NoUserProfileSelectedTitle"		"No Gamer Profile Selected"
"GameUI_Console_NoUserProfileSelectedTitle"		"Aucun profil de joueur sélectionné"
"[english]GameUI_Console_NoUserProfileSelectedBody"		"Would you like to select a gamer profile?\nChoosing 'No' will let you play the game, but you will not be able to save your progress."
"GameUI_Console_NoUserProfileSelectedBody"		"Souhaitez-vous sélectionner un profil de joueur ?\nSi vous choisissez « Non », vous pourrez jouer, mais vous ne pourrez pas sauvegarder votre progression."
"[english]GameUI_Console_UserProfileRequiredBody"		"This action requires that you be signed in.\nWould you like to select a gamer profile?"
"GameUI_Console_UserProfileRequiredBody"		"Cette opération nécessite que vous soyez en ligne.\nSouhaitez-vous sélectionner un profil de joueur ?"
"[english]GameUI_Console_StorageDeviceRequiredBody"		"This action requires that you select a storage device.\n\nWould you like to select a storage device?"
"GameUI_Console_StorageDeviceRequiredBody"		"Cette opération nécessite la sélection d'un périphérique de stockage.\n\nSouhaitez-vous sélectionner un périphérique de stockage ?"
"[english]GameUI_Achievement_Awarded"		"Achievement Unlocked"
"GameUI_Achievement_Awarded"		"Succès déverrouillé"
"[english]GameUI_Achievement_Progress"		"Achievement Progress"
"GameUI_Achievement_Progress"		"Progression succès"
"[english]GameUI_Achievement_Progress_Fmt"		"%s1 (%s2/%s3)"
"GameUI_Achievement_Progress_Fmt"		"%s1 (%s2/%s3)"
"[english]GameUI_Achievement_Locked"		"Locked"
"GameUI_Achievement_Locked"		"Verrouillé"
"[english]GameUI_Achievement_Unlocked"		"Unlocked"
"GameUI_Achievement_Unlocked"		"Déverrouillé"
"[english]GameUI_Achievements_Title"		"My Achievements"
"GameUI_Achievements_Title"		"Mes succès"
"[english]GameUI_Achievements_SteamRequired_Title"		"Steam Login Required"
"GameUI_Achievements_SteamRequired_Title"		"Connexion Steam requise"
"[english]GameUI_Achievements_SteamRequired_Message"		"You must be logged in to Steam to unlock or view Achievements."
"GameUI_Achievements_SteamRequired_Message"		"Pour déverrouiller ou consulter vos succès, vous devez être connecté à Steam."
"[english]GameUI_Achievements_EnterGameToSeeProgress"		"Enter game to see progress"
"GameUI_Achievements_EnterGameToSeeProgress"		"Lancez le jeu pour voir votre progression"
"[english]GameUI_Achievement_Points"		"%s1G"
"GameUI_Achievement_Points"		"%s1G"
"[english]GameUI_Achievement_Menu_Range"		"%s1 of %s2"
"GameUI_Achievement_Menu_Range"		"%s1 sur %s2"
"[english]GameUI_Achievements_Earned"		"Achievements Earned:"
"GameUI_Achievements_Earned"		"Succès remportés :"
"[english]GameUI_Console_UserSettings"		"User Settings"
"GameUI_Console_UserSettings"		"Paramètres utilisateur"
"[english]GameUI_LoadFailed"		"Load Failed"
"GameUI_LoadFailed"		"Chargement interrompu"
"[english]GameUI_LoadFailed_Description"		"A storage device was removed while loading, or a file was corrupt.\n\nUnable to load save game."
"GameUI_LoadFailed_Description"		"Un périphérique de stockage a été retiré en cours de chargement ou un fichier a été corrompu.\n\nImpossible de charger la partie sauvegardée."
"[english]GameUI_LoadDialog_Hr_Min"		"%s1 hr %s2 min"
"GameUI_LoadDialog_Hr_Min"		"%s1 hr %s2 min"
"[english]GameUI_LoadDialog_Min_Sec"		"%s1 min %s2 sec"
"GameUI_LoadDialog_Min_Sec"		"%s1 min %s2 sec"
"[english]GameUI_LoadDialog_Sec"		"%s1 seconds"
"GameUI_LoadDialog_Sec"		"%s1 secondes"
"[english]GameUI_DisableSprays"		"Disable Sprays"
"GameUI_DisableSprays"		"Désactiver les graffitis"
"[english]GameUI_FOV"		"Field of view"
"GameUI_FOV"		"Champ de vision"
"[english]GameUI_EnableHUDMinMode"		"Enable Minimal HUD"
"GameUI_EnableHUDMinMode"		"Activer mini HUD"
		"[english]TAB"		"Tab"
		"TAB"		"Tab"
		"[english]CAPSLOCK"		"Caps Lock"
		"CAPSLOCK"		"Caps Lock"
		"[english]SHIFT"		"Shift"
		"SHIFT"		"Shift"
		"[english]RSHIFT"		"Right Shift"
		"RSHIFT"		"Right Shift"
		"[english]CTRL"		"Ctrl"
		"CTRL"		"Ctrl"
		"[english]ALT"		"Alt"
		"ALT"		"Alt"
		"[english]SPACE"		"Space"
		"SPACE"		"Space"
		"[english]RCTRL"		"Right Ctrl"
		"RCTRL"		"Right Ctrl"
		"[english]RALT"		"Right Alt"
		"RALT"		"Right Alt"
		"[english]ENTER"		"Enter"
		"ENTER"		"Enter"
		"[english]UPARROW"		"↑"
		"UPARROW"		"↑"
		"[english]DOWNARROW"		"↓"
		"DOWNARROW"		"↓"
		"[english]LEFTARROW"		"←"
		"LEFTARROW"		"←"
		"[english]RIGHTARROW"		"→"
		"RIGHTARROW"		"→"
		"[english]BACKSPACE"		"Backspace"
		"BACKSPACE"		"Backspace"
		"[english]SEMICOLON"		";"
		"SEMICOLON"		";"
		"[english]HOME"		"Home"
		"HOME"		"Home"
		"[english]END"		"End"
		"END"		"End"
		"[english]DEL"		"Del"
		"DEL"		"Del"
		"[english]PGUP"		"PgUp"
		"PGUP"		"PgUp"
		"[english]PGDOWN"		"PgDn"
		"PGDOWN"		"PgDn"
		"[english]PAUSE"		"Pause"
		"PAUSE"		"Pause"
		"[english]MWHEELUP"		"Scroll Up"
		"MWHEELUP"		"Scroll Up"
		"[english]MWHEELDOWN"		"Scroll Down"
		"MWHEELDOWN"		"Scroll Down"
		"[english]MOUSE1"		"Left Click"
		"MOUSE1"		"Left Click"
		"[english]MOUSE2"		"Right Click"
		"MOUSE2"		"Right Click"
		"[english]MOUSE3"		"Middle Click"
		"MOUSE3"		"Middle Click"
		"[english]MOUSE4"		"MOUSE4"
		"MOUSE4"		"MOUSE4"
		"[english]MOUSE5"		"MOUSE5"
		"MOUSE5"		"MOUSE5"
}
}
